# CSV-File created with merge-csv.com
# -----------------------------------------------------------

temperature,humidity,light,action
34.84432419911367,87.30430790385574,712.0878923992387,"[5, 6]"
32.589610202933365,82.26193926138477,298.873217196276,[6]
24.60587471556344,76.37648115603801,347.27281774666574,[6]
26.949370022578364,79.14712968010701,385.841968055788,[6]
22.87679575275644,86.07844321062746,304.4396391452418,[6]
25.28092553496337,82.48404922080955,384.5495083255872,[6]
29.856273118075684,81.7724173259715,494.06904838679503,[6]
31.656874753574648,71.24905363475337,329.0030397256859,[6]
30.418576860860973,71.48017757869945,252.83512246251348,[6]
28.96510295689937,71.34223888698817,695.5467200043181,"[5, 6]"
25.242110662691488,75.26585520033422,329.04395505080834,[6]
28.242619540433683,76.92854109355017,603.7047617145722,"[5, 6]"
28.89012341693533,80.44493831883038,518.3092289153205,"[5, 6]"
24.53377439628251,79.12571155675123,642.3898578820297,"[5, 6]"
24.308071665753022,76.24240777235518,520.2222469899741,"[5, 6]"
34.004238466798675,70.15097611949177,330.16905469173213,[6]
32.9250192785173,75.8804050914905,246.55759463253,[6]
22.12902764272846,89.21581345271363,312.5525895873586,[6]
27.58545588011733,83.159071172641,392.9324100847049,[6]
30.75704154397163,71.60453005773681,218.6051575593901,[6]
21.958143685827853,87.78862997972624,778.603211037475,"[5, 6]"
26.60188249345169,81.82340346288125,509.5316654588602,"[5, 6]"
28.533141530780107,75.60746047190963,523.5316787031093,"[5, 6]"
32.93895110758175,71.87142023911525,262.2472702526877,[6]
28.4016549499518,87.61003871126495,625.211900509569,"[5, 6]"
26.84005183320874,79.52800035713219,260.7595333131956,[6]
33.440749413740804,84.33109290355515,315.70472585977325,[6]
28.52430172485102,78.59670241815016,749.8168356835455,"[5, 6]"
33.24299576053974,73.23013223182168,505.03040630812046,"[5, 6]"
22.39404748630547,86.81046930451433,449.4894353454069,[6]
24.41208606433249,78.74338313567696,316.6903315172359,[6]
23.257237425815894,79.5777240473219,578.2879682278478,"[5, 6]"
30.886631357291144,71.98786931809586,259.11414253365547,[6]
27.74160947363053,70.14090778159829,435.7832366293338,[6]
34.357882942141984,70.70132578474035,382.6546745056036,[6]
20.00120145911681,78.40313427021661,754.666114918567,"[5, 6]"
23.54833270920404,82.69415995526192,584.8735123284451,"[5, 6]"
27.287828007401277,82.95299602756161,630.7104984863913,"[5, 6]"
29.78689329989591,76.5928768764414,710.5618746218034,"[5, 6]"
23.98590193243175,84.39715191025796,305.5035148618424,[6]
25.106170871161687,76.19288791761747,506.6962500784848,"[5, 6]"
31.354640534772614,71.40313103285384,544.2537393460686,"[5, 6]"
25.55934342303316,85.66124402106209,224.2559174125469,[6]
27.49963622458564,70.07380681103133,420.0794731725277,[6]
32.850923275600344,88.83650435616568,535.9458306038496,"[5, 6]"
26.82674827344476,86.33747222799948,453.92677761308266,[6]
31.086967567712392,86.41951431186875,446.6827242386085,[6]
29.98652479095154,85.30667431258554,655.6261326145986,"[5, 6]"
20.62201630680364,77.67806009752253,391.29646734071656,[6]
22.73904513710437,70.93779036458986,657.9022099932342,"[5, 6]"
23.821229666002537,70.08951092643777,435.6964180709679,[6]
29.984801561379346,79.1375214934824,410.3392790037415,[6]
29.75120450475676,81.43370437123208,587.8863104037964,"[5, 6]"
27.498932014784,82.88777617509724,212.38392929859967,[6]
33.49786241224804,87.82521915880525,666.4850968517248,"[5, 6]"
24.312764455471694,73.50060376300986,495.9698075860937,[6]
21.736315983260475,79.14696733112925,311.70137679127555,[6]
23.04527109865016,82.1848163409612,388.88967305321313,[6]
33.61230338586097,87.29564503219845,230.22291242307503,[6]
26.621751897807773,72.04637690653495,226.1193835790503,[6]
